text,sentiment
 they sent her a letter and said they would talk to the stewardess about serving drunks drinks how does that help,negative
 I'm on UA1118 and my direct tv isn't working.  How do I avoid this in future?,negative
 how do you have only 1 flight into lexington this afternoon with the #1  playing a big game tonight?  #DoBetter,neutral
 I tried calling for yet another delayed flight and was told the phone line couldn't handle the volume and was hung up on. Twice.,negative
 that's awesome! Love flying SWA!,positive
 Thnx. Hopefully it's just on the nxt flight up. I've got 3 shows this wknd. Worst case I'll just turn my sweatshirt inside out,neutral
 thanks to the gent on the phone who fixed my BOS-MCO flight and the fee waiver! A320 now :) #flyfi ! I forget her name :(,positive
 I filled out the form but I haven’t received any sort of email confirmation that it’s been received. Is that normal?,neutral
 give this guy a raise....great start to flight from AZ to MKE..,positive
 why is my 910 flight listed on time when its 904AM and I'm not on the plane yet? ,negative
 I can hardly believe it! Bundle up and stay warm! 😉,positive
" overloads small plane with extra baggage and then. Has to take them off... Poor execution #4435, 75 minute delay...",negative
 Thanks for a great flight from LA to Boston! Pilots did a great job landing in the snow. Can we go back to LA now? #seriously,positive
 lol me too,positive
 here in Austin I saw the water bottles &amp; snacks @ the desk for your waiting passengers! Im so Flight Booking Problems my next flight with you!,positive
" I adore you, and am so looking forward to my flight to Austin in two weeks.",positive
" up at 4AM and arrive to find it already Cancelled Flighted. No options so miss my meeting. You might ""know"" but don't show it.",negative
 at some point u need to tell passengers what is going on. At Jfk waiting to get on flight it is a mess.,negative
 I called the BTV desk; they had more information - so it exists.  Your systems don't make it easy for the customer to access it.,negative
 our flight attendant  was super helpful in finding a bag we left on a flight today. Excellent customer service. Name fits.,positive
" ""the extra care airline"". #unitedairlines they don't care. Trust me. There #customerservice is non existent. They don't have 1",negative
 Ok and in Dominican Republic what numbers?,neutral
  Poor customer service displayed over the weekend during the storm. I was stuck on the tarmac for 2.5 hours with no answer!,negative
 your airline also delayed our bags to us for 4 hours &amp; refused to ship them to our local airport #disappointed #stillbagless,negative
 Missed KTM flight due to ur Cancelled Flightlation. Mike supervisor disgusting.  Now day Late Flight. No apology or upgrade offer to LHR from ORD???,negative
" continues to win: I've never missed a flight before, but a nice little quiet gate change made it possible. Sheesh.",negative
